BEANS—IN GENERAL (or MIXED),"CABBAGE, IN GENERAL, or MIXED CABBAGES","CHILES—IN GENERAL, or MIXED","GREENS—IN GENERAL OR MIXED (see also ARUGULA; BOK CHOY; CABBAGE; CHARD, SWISS; GREENS, BEET; GREENS, BITTER; GREENS, COLLARD; GREENS, DANDELION; GREENS, SALAD; GREENS, TURNIP; KALE; LETTUCE; and SPINACH)",LENTILS—IN GENERAL (see also specific LENTILS),MUSHROOMS—IN GENERAL,"MUSHROOMS, WILD—IN GENERAL, or MIXED (see also CHANTERELLE, HEN OF THE WOODS, MOREL, PORCINI, etc.)","OLIVES—IN GENERAL, or MIXED","ONIONS—IN GENERAL, or MIXED","PEAS (aka ENGLISH PEAS, GARDEN PEAS, or GREEN PEAS; see also BLACK-EYED PEAS and PEAS, SPLIT)","POTATOES—IN GENERAL, WITH SKIN",RICE—IN GENERAL,TOFU—IN GENERAL,name
,,,,,,,,,,,,,"ALMONDS (and UNSWEETENED ALMOND BUTTER; see also MILK, ALMOND)"
,,,,,,,,,,,,,ANISE SEEDS
,,,,,,,,,,,,,"APPLES (and APPLE CIDER, APPLE JUICE and/or APPLESAUCE)"
,,,,,,,,,,,,,ARTICHOKE HEARTS (see also ARTICHOKES)
,,,,,,,,,,,,,"ARTICHOKES, JERUSALEM (aka SUNCHOKES)"
,,,,,,,,,,,,,ARUGULA (aka ROCKET)
,,,,,,,,,,,,,ASPARAGUS
,,,,,,,,,,,,,BASIL
,,,,,,,,,,,,,BAY LEAF
,,,,,,,,,,,,,"BEANS, BLACK (aka TURTLE BEANS)"
,,,,,,,,,,,,,"BEANS, PINTO"
,,,,,,,,,,,,,BEETS
,,,,,,,,,,,,,"BELL PEPPERS—IN GENERAL, or MIXED"
,,,,,,,,,,,,,BOK CHOY (aka CHINESE CABBAGE or PAK CHOI)
,,,,,,,,,,,,,BRAGG LIQUID AMINOS
,,,,,,,,,,,,,BROCCOLI
,,,,,,,,,,,,,BROCCOLINI
,,,,,,,,,,,,,BRUSSELS SPROUTS
,,,,,,,,,,,,,BUTTER
,,,,,,,,,,,,,"CABBAGE, GREEN"
,,,,,,,,,,,,,"CABBAGE, RED"
,,,,,,,,,,,,,CARAWAY SEEDS
,,,,,,,,,,,,,CARROTS
,,,,,,,,,,,,,CASHEWS and CASHEW NUT BUTTER
,,,,,,,,,,,,,CAULIFLOWER
,,,,,,,,,,,,,CELERY
,,,,,,,,,,,,,CELERY ROOT (aka CELERIAC)
,,,,,,,,,,,,,"CHARD, e.g., RAINBOW, RED/RUBY, SWISS, or MIXED"
,,,,,,,,,,,,,"CHEESE, CHEDDAR"
,,,,,,,,,,,,,"CHEESE, PARMESAN"
