gratins,"stock, e.g., vegetable",cabbage,"squash, e.g., spaghetti",wine,yogurt,tabbouleh,"legumes, e.g., lentils","ONIONS, e.g., green, red, Spanish, Vidalia, yellow",salt,salsas,South American cuisines,"vegetables, e.g., spring",eggs,cucumbers,"chocolate, e.g., bitter, dark",poppy seeds,"milk, dairy or nondairy (e.g., rice, soy)","ONIONS, e.g., green, pearl, red, spring, white, yellow",veggie burgers,spinach,"PEPPER, e.g., BLACK, white","paellas, vegetarian","pasta, e.g., macaroni, spaghetti","stews, e.g., mushroom",ghee,"garlic, green","“bowls,” e.g., grains/veggies/dressings",sherry,"tortillas, whole wheat","ONIONS, e.g., green, red, white, yellow",Czech cuisine,orange,"BELL PEPPERS, e.g., red, roasted","chiles, e.g., jalapeño, and chili pepper flakes","flour, e.g., brown rice",spreads,grapefruit,tofu,"pepper, e.g., black, white","olives, e.g., black, green",star anise,ASPARAGUS,Caribbean cuisines,"sugar, e.g., palm",MINT,salad dressings,"OIL, e.g., OLIVE, peanut, sesame, truffle (e.g., white), walnut","beans, fava","SOUPS, e.g., leek, potato, sorrel, vegetable",cloves,"chiles, chili pepper flakes, and chili pepper sauce",SORREL,chives,"NUTS, e.g., almonds, hazelnuts, pecans, pine nuts, pistachios, walnuts",*SAVORY,pâtés,noodles,CELERY,Thai cuisine,savory,CUMIN,pine nuts,CARAWAY SEEDS,casseroles,chickpeas,"DALS, i.e., Indian stewed lentils",curry powder,BUTTER,"chiles, e.g., chipotle",sugar snap peas,"beans, e.g., navy, pinto, white",GARLIC,sandwiches,POLENTA,Asian cuisines,TOMATOES and TOMATO SAUCE,tomatoes,smoothies,lentils,"STOCKS, e.g., vegetable","CHEESE, e.g., Asiago, blue, cheddar, Fontina, goat, Gouda, Gruyère, Jack, manchego, mozzarella, Parmesan, pecorino, Swiss",ASIAN CUISINES,puddings,allspice,"oregano, e.g., Mexican",purees,seitan,curries,"VINEGAR, e.g., apple cider, champagne, rice wine, sherry, wine","MUSHROOMS, e.g., morel, oyster, shiitake, wild",broccoli and broccoli rabe,sauerkraut,"onions, e.g., green, red, white","sauces, e.g., fruit, moles, salsas","wine, e.g., Madeira",Mediterranean cuisines,lavender,"beans, e.g., black, green, pinto","salt, e.g., sea","lime, e.g., juice",stir-fries,"salt, e.g., kosher, sea, smoked",gravies,corn bread,"milk, e.g., coconut",pumpkin,cole slaw,ROSEMARY,walnuts,"soups, e.g., “creamy,” miso","Indian cuisine, e.g., South",muffulettas,"BEANS, e.g., black, green, kidney, pinto, white","sauces, e.g., mushroom",vinegar,black-eyed peas,"VINEGAR, e.g., red wine, rice wine, sherry, wine","basil, e.g., Thai",raisins,farro,cinnamon,tagines,shallots,Indian cuisine,*MEXICAN CUISINE,"orange, e.g., juice, zest","EGGS, e.g., frittatas, hard-boiled, omelets, quiches","vinegar, e.g., balsamic, red wine, rice wine, sherry",soy sauce,LENTILS,STIR-FRIES,"VINEGAR, e.g., balsamic, brown rice, Chinese black, rice, umeboshi","sprouts, e.g., sunflower",*THAI CUISINE,"cassoulet, vegetarian",Moroccan cuisine,"potatoes, e.g., new","greens, e.g., collard, mustard, salad, winter",CILANTRO,Middle Eastern cuisines,"grains, whole, e.g., quinoa, spelt",mangoes,stews,BARLEY,"veggie burgers, e.g., with rice","greens, e.g., salad","loaves, e.g., mock meatloaf","sesame, e.g., oil (esp. toasted), seeds",sea vegetables,won tons,STEWS,"squash, e.g., butternut, kabocha",endives,"grains, whole, e.g., millet",nutmeg,coriander,"APPLES, APPLE JUICE, and APPLE CIDER","CHEESE, e.g., feta, GOAT (esp. fresh), Gorgonzola, Parmesan",figs,“hummus”,"VINEGAR, e.g., balsamic, red wine, sherry, tarragon, white balsamic",fennel,POTATOES,mint,TAPENADES,SALSAS,"palm, hearts of",celery seeds,daikon,Kaffir lime leaf,tamarind,"stuffed onions, e.g., with cheese, herbs, and/or rice",pineapples,THYME,"sea vegetables, e.g., dulse, hiziki",quinoa,"bell peppers, e.g., red","vinegar, e.g., rice","SALADS, e.g., bean, chopped, grain, Greek, niçoise, pasta",chiles,rice,"mustard, Dijon",apples and apple juice,"onions, e.g., red","OIL, e.g., flax seed, hemp, mustard, nut, OLIVE, safflower, sesame, vegetable, walnut","sugar (i.e., a pinch)","peanuts, esp. in Asian dishes",satays,"bell peppers, e.g., green and/or roasted",pastas,chestnuts,maple syrup,miso,scallions,Southwestern (U.S.) cuisine,epazote,GINGER,"onions, e.g., green, red, spring, yellow",Cajun cuisine,"tarts, e.g., mushroom",okra,Mexican cuisine,"pepper, e.g., black, green",moles,"gravies, e.g., mushroom","lemon, preserved","salads, e.g., bean, green",custard,LEEKS,pineapple,butter and brown butter,sage,"BEANS, e.g., black",fenugreek,saffron,skordalia,nuts,"artichokes, e.g., globe, Jerusalem","vinegar, e.g., red wine, sherry",arame,quesadillas,"squash, e.g., butternut, delicata",five-spice powder,TOMATOES and sun-dried,"pepper, black","“meatloaf,” i.e., loaf made with mushrooms and nuts",caramelized onions,stuffed baked potatoes / twice-baked potatoes,"chiles, e.g., ancho or green, or serrano, and chili powder",parsnips,lovage,"ONIONS, e.g., green, white",tahini,greens,"vegetables, roasted","cheese, Swiss","vinegar, rice","wine, e.g., dry white",Madeira,"peas, split",coconut,garlic,"mustard, e.g., Dijon, oil, seeds","SESAME, e.g., oil, sauce, seeds","cabbage, stuffed",TOMATOES and sun-dried tomatoes,European cuisines,stuffed chiles,confit,corn,"tarts, onion",leeks,mascarpone,"OIL, e.g., OLIVE, truffle","seeds, e.g., caraway, celery, sesame","vinegar, e.g., balsamic, sherry, white wine","cheese, e.g., feta, goat, mozzarella, Parmesan, ricotta",mujadara,"OIL, e.g., canola, coconut, OLIVE, peanut, sunflower, walnut",cornstarch,lemongrass,escarole,"oil, e.g., olive, sesame, sunflower",chicory,"LIME, e.g., juice",sauces,Southeast Asian cuisines,"cabbage, e.g., savoy","vegetables, sweet, e.g., beets, carrots, corn","LETTUCE, e.g., butter",juniper berries,rice and wild rice,coconut and coconut milk,garam masala,almonds,RISOTTOS,dashi,SALADS,chili powder and chili sauce,bulgur,"PASTAS, e.g., pappardelle, ravioli","CHEESE, e.g., feta, kasseri, Parmesan","SAUCES, e.g., pasta, puttanesca (vegetarian)",sorrel,ramps,biryani,"cheese, e.g., cheddar, Fontina, goat, Monterey Jack, mozzarella, Parmesan, queso fresco","bell peppers, e.g., red, roasted, stuffed",Korean cuisine,"stuffed mushrooms or vegetables, e.g., bell peppers, eggplants, tomatoes",zucchini,"beans, e.g., white",turmeric,"baked goods, e.g., breads, cakes",TARRAGON,"soups, e.g., bean, lentil",barley and pearl barley,mayonnaise and Vegenaise,“cheesecakes”,"PEPPER, e.g., black, white","sesame, e.g., oil, seeds",Tex-Mex cuisine,barley,"cabbage, e.g., Chinese, napa","celery, CELERY ROOT, and celery seeds",enchiladas,paprika and smoked paprika,"BEANS, e.g., black, pinto",Greek cuisine,buckwheat,"terrines, vegetable","salads, e.g., green, mock egg, vegetable","vegetables, e.g., root",fennel and fennel seeds,sweet potatoes,stuffings,"chiles, e.g., green, red",mushrooms,"tofu, e.g., firm, smoked",risottos,butter,Provençal cuisine,"cornmeal, e.g., to crust","WINE, e.g., dry red or white",dressings,Brussels sprouts,"cheese, e.g., Asiago, feta, goat, Monterey Jack, mozzarella, Parmesan, Swiss",cashews,peas,chervil,olives,"French cuisine, e.g., soups, tarts",skewers,hiziki,carrots,"seeds, e.g., pumpkin","nuts, e.g., almonds, pecans, pine nuts, pistachios, walnuts",watercress,"salads, e.g., bean, Thai",onions,shiso,"PARSLEY, esp. flat-leaf, and parsley root","mushrooms, other",pizza,"ORANGE, e.g., juice, zest",sumac,"bell peppers, esp. roasted",honey,"cheese, e.g., Jack","OILS, e.g., OLIVE, peanut, sesame, sunflower",artichokes,"bread pudding, savory","French cuisine, esp. French lentils",SAGE,"OIL, OLIVE",cream and crème fraîche,grains,stuffed mushrooms,millet,CHIVES,umeboshi plum sauce,tacos (season lentils with taco spices),sunflower seeds,wakame,"MUSTARD (e.g., Dijon) and mustard seeds (e.g., black)",SOY SAUCE,"CURRIES, esp. green",amaranth,"MUSHROOMS, e.g., porcini",rhubarb,"beans, e.g., black, cannellini, fava, green","RICE, e.g., brown",COCONUT and COCONUT MILK,TOMATOES and tomato paste,"squash, e.g., butternut, winter",pies,salads,"lemon, e.g., juice",KOMBU,spring rolls,"salt, sea",stuffed cabbage,"RICE, e.g., black, brown","baked goods, e.g., breads, focaccia","salsa, tomato",SHALLOTS,CHIVES and garlic chives,"greens, e.g., Asian, collard","lemon, e.g., juice, zest",lime,endive,bok choy,horseradish,lemon thyme,guacamole,"VINEGAR, e.g., balsamic, red wine","NOODLES, esp. Asian, e.g., buckwheat, rice, soba, udon","greens, e.g., bitter (e.g., collard) or salad",Chinese cuisine,rutabagas,celery,"EGGS, e.g., frittatas, hard-boiled, omelets, quiches, tortillas",tortillas and tortilla chips,soy sauce or tamari,dill,avocado,mirin,asparagus,ginger,arugula,SAFFRON,soups,"chili, vegetarian",hoisin,"MUSHROOMS, e.g., morel, porcini, portobello, wild","cheese, e.g., blue, cheddar, feta, Parmesan","WINE, e.g., dry red or white, dry sherry, Madeira","GARLIC, e.g., green, white",tamari,mustard,"desserts, e.g., creamy",MARJORAM,compotes,"PASTAS, e.g., fettuccine, fusilli, penne",avocados,“guacamole”,"pasta, e.g., gnocchi","squash, summer",snow peas,bell peppers,cayenne,"SOUPS, e.g., pea, spinach, vegetable",bay leaf,"APPLES, e.g., cider, fruit, juice",marjoram,"*RICE, e.g., brown","black bean paste, e.g., fermented",pecans,turnips,"greens, bitter","beverages, e.g., horchata",plum sauce,"SALADS, e.g., pasta, vegetable",spelt,galangal,"eggs, e.g., frittatas, omelets, quiches",pilafs,kale,Italian cuisine,"eggs, e.g., omelets","CHARD, e.g., Swiss",tarragon,crepes,crostini,"noodles, e.g., egg, rice, udon",anise seeds,breadcrumbs,"phyllo dough, whole-wheat",MISO,broccoli,buttermilk,"eggs, e.g., deviled, frittatas, hard-boiled, soft-boiled",mizuna,"BREAD CRUMBS, e.g., panko, whole-wheat",cardamom,parsley,"OIL, e.g., OLIVE",SLAWS,bamboo shoots,TAMARI,"seeds, e.g., hemp, poppy, sesame, sunflower","onions, e.g., green, red","eggs, e.g., hard-boiled","SALT, e.g., kosher, sea, smoked",pad thai,"grains, e.g., quinoa, rice, spelt",potatoes,"SALADS, e.g., egg, green, potato (cold or hot)",couscous,cilantro,"breads, e.g., focaccia",celery root,caponata,"American cuisine, esp. Southern and Southwestern",oranges,"LEMON, e.g., juice, zest",PARSLEY,"potatoes, e.g., new, red","onions, e.g., cipollini",phyllo dough,cream,pesto,tomatillos,*GARLIC,herbs,"beans, e.g., fava, green","scrambles, tofu","sesame, e.g., oil, seeds, esp. in Asian cuisines",polenta,thyme,nori,"SOUPS, e.g., mushroom, vegetable",frisée,dates,coconut and coconut cream,"PASTAS, e.g., linguini, spaghetti",PIZZA,French cuisine,"lime, e.g., juice, zest","OIL, e.g., canola, chili, OLIVE, peanut, vegetable","curry powder, curry spices, and CURRIES","MUSHROOMS, e.g., SHIITAKE",oregano,beets,"STOCK, e.g., mushroom, vegetable","CHEESE, e.g., blue, cheddar, chèvre, Comté, Emmentaler, feta, goat, Gouda, GRUYÈRE, nondairy, Parmesan, pecorino, Swiss","squash, e.g., butternut",potato cakes / potato pancakes,Spanish cuisine,pasta,pumpkin and pumpkin seeds,"oil, olive",croutons,"oil, e.g., olive, peanut, sesame",chili powder,hazelnuts,lemon,"RICE, e.g., Arborio, brown, wild",snap peas,CARROTS,"sugar, e.g., brown",SPINACH,plantains,"stock, vegetable",Latin American cuisines,"chard, Swiss","spreads, e.g., pureed tofu","beans, e.g., cannellini",basil,Japanese cuisine,kebabs,"greens, Asian","pastas, e.g., ziti","STOCK, VEGETABLE","beans, green",milk,paellas,relishes,curry powder and spices,"vinegar, e.g., champagne, sherry, white wine","chiles, e.g., ancho, chipotle; chili paste and chili pepper flakes",burdock root,"mustard, e.g., Dijon, dry, prepared; mustard seeds",paprika,sour cream,crème fraîche,"EGGS, e.g., fried, frittatas, omelets, quiches","SALADS, e.g., lentil, vegetable",breads,"yogurt, e.g., low-fat or sheep’s milk","cheese, e.g., feta, goat, Gouda, Taleggio","nuts, e.g., walnuts",curry powder and curries,"salt, e.g., kosher, sea","CHEESE, e.g., blue, feta, goat, Gruyère, Parmesan, ricotta salata",citrus,caraway seeds,"squash, winter, e.g., butternut, delicata",CAPERS,mayonnaise,hummus,"truffles, e.g., black, white","tofu, e.g., silken","vegetables, esp. root or winter",beer,"vegetables, root",dips,"sauces, e.g., peanut","RICE, e.g., basmati, brown, wild",capers,"POTATOES, e.g., new",rosemary,vanilla,"SOUPS, e.g., onion, vegetable",coconut milk,"fruit, dried, e.g., apricots, plums, raisins",eggplant,chard,BASIL,cauliflower,PEANUTS and PEANUT SAUCE,cumin,"grains, whole",name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ALMONDS (and UNSWEETENED ALMOND BUTTER; see also MILK, ALMOND)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANISE SEEDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,D,,,,,,,,,,,,,,,1.0,,,,,,,,,,,d,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APPLES (and APPLE CIDER, APPLE JUICE and/or APPLESAUCE)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARTICHOKE HEARTS (see also ARTICHOKES)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARTICHOKES, JERUSALEM (aka SUNCHOKES)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,c,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARUGULA (aka ROCKET)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASPARAGUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,BASIL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY LEAF
,,,,,,,c,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,D,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,1.0,,,,1,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,d,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,"BEANS, BLACK (aka TURTLE BEANS)"
